Date,Close,Close,Close,Close
01.06.2020 16:00:00,"80,46","3193,93","24,52","163,66"
02.06.2020 16:00:00,"80,83","3232,39","25,81","162,6"
03.06.2020 16:00:00,"81,28","3207,18","27,57","159,6"
04.06.2020 16:00:00,"80,58","3190,14","27,57","161,28"
05.06.2020 16:00:00,"82,88","3002,1","40,79","158,01"
08.06.2020 16:00:00,"83,37","3041,31","36,09","159,72"
09.06.2020 16:00:00,86,"3066,59","34,4","161,26"
10.06.2020 16:00:00,"88,21","3124,74","33,67","163,57"
11.06.2020 16:00:00,"83,98","3113,49","33,47","162,39"
12.06.2020 16:00:00,"84,7","3115,34","32,94","162,62"
15.06.2020 16:00:00,"85,75","3097,74","35,12","162,33"
16.06.2020 16:00:00,"88,02","3117,86","31,77","162,25"
17.06.2020 16:00:00,"87,9","3131,29","31,37","162,56"
18.06.2020 16:00:00,"87,93","3050,33","33,84","162,24"
19.06.2020 16:00:00,"87,43","3083,76","32,22","164,03"
22.06.2020 16:00:00,"89,72","3009,05","34,73","165,09"
23.06.2020 16:00:00,"91,63","3053,24","31,78","166,48"
24.06.2020 16:00:00,"90,02","3100,29","30,43","165,9"
25.06.2020 16:00:00,"91,21","3115,86","28,62","165,8"
26.06.2020 16:00:00,"88,41","3130,01","27,68","166,54"
29.06.2020 16:00:00,"90,45","3179,72","27,94","166,63"
30.06.2020 16:00:00,"91,2","3145,32","29,43","167,37"
01.07.2020 16:00:00,"91,03","3169,94","28,08","166,62"
02.07.2020 16:00:00,"91,03","3152,05","29,26","166,98"
06.07.2020 16:00:00,"93,46","3185,04","27,29","167,98"
07.07.2020 16:00:00,"93,17","3155,22","32,19","169,04"
08.07.2020 16:00:00,"95,34","3197,52","29,52","170,09"
09.07.2020 16:00:00,"95,68","3226,56","27,76","169,63"
10.07.2020 16:00:00,"95,92","3215,57",28,"169,19"
13.07.2020 16:00:00,"95,48","3224,73","25,68","169,4"
14.07.2020 16:00:00,"97,06","3251,84","24,46","170,19"
15.07.2020 16:00:00,"97,73","3257,3","24,84","170,34"
16.07.2020 16:00:00,"96,52","3276,02","24,32","168,73"
17.07.2020 16:00:00,"96,33","3235,66","26,08","170,12"
20.07.2020 16:00:00,"98,36","3215,63","25,84","170,94"
21.07.2020 16:00:00,97,"3239,41","24,74",173
22.07.2020 16:00:00,"97,27","3218,44","25,44","175,63"
23.07.2020 16:00:00,"92,85","3258,44","24,1","177,18"
24.07.2020 16:00:00,"92,62","3246,22","24,76","178,7"
27.07.2020 16:00:00,"94,81","3271,12","24,46","182,23"
28.07.2020 16:00:00,"93,25","3294,61","24,28","183,75"
29.07.2020 16:00:00,"95,04","3306,51","23,76","185,13"
30.07.2020 16:00:00,"96,19","3327,77","22,99","183,76"
31.07.2020 16:00:00,"106,26","3349,16","22,65","185,43"
03.08.2020 16:00:00,"108,94","3351,28","22,21","185,64"
04.08.2020 16:00:00,"109,67","3360,47","22,13","189,59"
05.08.2020 16:00:00,"110,06","3333,69","24,03","191,35"
06.08.2020 16:00:00,"113,9","3380,35","22,28","193,89"
07.08.2020 16:00:00,"111,11","3373,43","22,13","190,81"
10.08.2020 16:00:00,"112,73","3372,85","22,05","190,15"
11.08.2020 16:00:00,"109,38","3381,99","21,35","179,94"
12.08.2020 16:00:00,"113,01","3389,78","21,51","179,1"
13.08.2020 16:00:00,"115,01","3374,85","22,54","183,33"
14.08.2020 16:00:00,"114,91","3385,51","22,72","182,54"
17.08.2020 16:00:00,"114,61","3397,16","22,54","186,5"
18.08.2020 16:00:00,"115,56","3431,28","22,37","188,18"
19.08.2020 16:00:00,"115,71","3443,62","22,03","182,24"
20.08.2020 16:00:00,"118,28","3478,73","23,27","183,5"
21.08.2020 16:00:00,"124,37","3484,55","24,47","182,03"
24.08.2020 16:00:00,"125,86","3508,01","22,96",181
25.08.2020 16:00:00,"124,83","3500,31","26,41","181,22"
26.08.2020 16:00:00,"126,52","3526,65","26,12","183,36"
27.08.2020 16:00:00,"125,01","3580,84","26,57","181,24"
28.08.2020 16:00:00,"124,81","3455,06","33,6","184,39"
31.08.2020 16:00:00,"129,04","3426,96","30,75","184,83"
01.09.2020 16:00:00,"134,18","3331,84","31,46","185,05"
02.09.2020 16:00:00,"131,4","3398,96","28,81","182,62"
03.09.2020 16:00:00,"120,88","3339,19","29,71","181,14"
04.09.2020 16:00:00,"120,96","3340,97","26,87","181,64"
08.09.2020 16:00:00,"112,82","3383,54","25,85","181,29"
09.09.2020 16:00:00,"117,32","3401,2","25,59","183,05"
10.09.2020 16:00:00,"113,49","3385,49","26,04","182,46"
11.09.2020 16:00:00,112,"3357,01","26,46","182,45"
14.09.2020 16:00:00,"115,36","3319,47","25,83","183,89"
15.09.2020 16:00:00,"115,54","3281,06","27,78","183,45"
16.09.2020 16:00:00,"112,13","3315,57","26,86","183,97"
17.09.2020 16:00:00,"110,34","3236,92","28,58","182,96"
18.09.2020 16:00:00,"106,84","3246,59","28,51","183,2"
21.09.2020 16:00:00,"110,08","3298,46","26,38","179,52"
22.09.2020 16:00:00,"111,81","3351,6","26,19","178,65"
23.09.2020 16:00:00,"107,12","3335,47","26,27","174,79"
24.09.2020 16:00:00,"108,22",3363,"26,37","175,44"
25.09.2020 16:00:00,"112,28","3380,8","26,7","174,94"
28.09.2020 16:00:00,"114,96","3348,44","27,63","176,7"
29.09.2020 16:00:00,"114,09","3408,63","27,96","178,19"
30.09.2020 16:00:00,"115,81","3360,95","29,48","177,12"
01.10.2020 16:00:00,"116,79","3419,45","28,06","178,7"
02.10.2020 16:00:00,"113,02","3446,83","26,36","178,54"
05.10.2020 16:00:00,"116,5","3477,13",25,"179,41"
06.10.2020 16:00:00,"113,16","3534,22","25,07","177,3"
07.10.2020 16:00:00,"115,08","3511,93","26,07","177,22"
08.10.2020 16:00:00,"114,97","3488,67","26,4","177,85"
09.10.2020 16:00:00,"116,97","3483,34","26,97","181,08"
12.10.2020 16:00:00,"124,4","3483,81","27,41","180,56"
13.10.2020 16:00:00,"121,1","3426,92","29,18","177,72"
14.10.2020 16:00:00,"121,19","3443,12","29,35","178,27"
15.10.2020 16:00:00,"120,71","3435,56","28,65","178,92"
16.10.2020 16:00:00,"119,02","3453,49","28,11","178,3"
19.10.2020 16:00:00,"115,98","3465,39","27,55","178,39"
20.10.2020 16:00:00,"117,51","3400,97","32,46","179,25"
21.10.2020 16:00:00,"116,87","3390,68","33,35","180,6"
22.10.2020 16:00:00,"115,75","3271,03","40,28","178,83"
23.10.2020 16:00:00,"115,04","3310,11","37,59","178,64"
26.10.2020 16:00:00,"115,05","3269,96","38,02","178,55"
27.10.2020 16:00:00,"116,6","3310,24","37,13","179,02"
28.10.2020 16:00:00,"111,2","3369,02","35,55","176,13"
29.10.2020 16:00:00,"115,32","3443,44","29,57","175,4"
30.10.2020 16:00:00,"108,86","3510,45","27,58","176,2"
02.11.2020 16:00:00,"108,77","3509,44","24,86","177,91"
